event_id,entity_id,entity_type,role_group,timestamp,source_ip,geo_city,geo_lat,geo_lon,resource_accessed,auth_method,auth_result,session_duration,command_sequence,device_fingerprint,bytes_transferred,label
evt_00000305,edge_device_0119,edge_device,iot_fleet,2026-06-01 00:07:29.274488,169.152.37.194,Tokyo,35.6428,139.6955,iot_hub_telemetry,sso_saml,success,1801.6,firmware_check;sensor_read;config_pull,fp_55bbaaecf8ef,489824.1,normal
evt_00000212,service_account_0087,service_account,data_pipeline,2026-06-01 00:19:25.675472,197.214.197.233,Singapore,1.4185,103.787,log_aggregator,password,success,1418.6,write_batch;write_batch;rotate_key,fp_7bb72f910f07,136495.0,normal
evt_00000204,service_account_0085,service_account,ci_infra,2026-06-01 00:25:44.342373,47.138.216.36,Chicago,41.8007,-87.6431,log_aggregator,api_key,success,805.2,sync_job;rotate_key;read_batch,fp_b7dbe1ae7e0f,21029.0,normal
evt_00000278,edge_device_0109,edge_device,gateway_fleet,2026-06-01 00:26:49.603132,149.84.236.191,Dubai,25.2362,55.1909,camera_feed_relay,mfa_push,fail,965.5,reboot;config_pull;reboot,fp_e14b18ddb61a,8209.7,normal
evt_00000222,service_account_0090,service_account,ci_infra,2026-06-01 00:28:55.203063,145.174.98.100,Singapore,1.4031,103.7924,backup_service,api_key,success,908.0,healthcheck;write_batch,fp_dbf6d12264fb,333568.2,normal
evt_00000215,service_account_0088,service_account,data_pipeline,2026-06-01 00:45:48.920484,195.239.25.248,Tokyo,35.6399,139.6688,customer_db,password,success,1140.8,sync_job,fp_79abd4e8ad99,308155.3,normal
evt_00000291,edge_device_0114,edge_device,retail_pos,2026-06-01 01:01:11.210298,208.112.5.110,Toronto,43.6206,-79.4146,camera_feed_relay,api_key,success,1238.9,heartbeat;heartbeat;config_pull;heartbeat,fp_0c7257be5f08,169590.0,normal
evt_00000298,edge_device_0116,edge_device,retail_pos,2026-06-01 01:13:57.745036,136.188.141.124,Mumbai,19.0913,72.8704,sensor_ingest,api_key,success,711.7,reboot;heartbeat;reboot;heartbeat;reboot;firmware_check;config_pull,fp_b2cb2e1e9fa8,0.0,normal
evt_00000213,service_account_0088,service_account,data_pipeline,2026-06-01 01:47:59.906168,213.162.233.249,Tokyo,35.6828,139.5856,backup_service,password,success,1181.2,publish_msg;publish_msg;rotate_key,fp_79abd4e8ad99,312375.7,normal
evt_00000292,edge_device_0114,edge_device,retail_pos,2026-06-01 02:04:37.188036,215.48.191.108,Toronto,43.5924,-79.4244,camera_feed_relay,api_key,success,1006.3,heartbeat;config_pull;reboot;heartbeat;heartbeat;config_pull;telemetry_push,fp_0c7257be5f08,152774.0,normal
